name,sample,OH_over_solar,DTG,DTG_err_low,DTG_err_high,DTM,DTM_err_low,DTM_err_high,OH_err_low,OH_err_high
Mrk1089,DGS,0.49431529339822106,0.0005066026963249639,4.230381707713207e-05,3.0439693976689317e-05,0.07080259172077331,0.012389150539030828,0.010604680285699464,0.04207305553457675,0.04207305553457675
,HRS_LTG,0.499018695845169,0.013704616270736094,0.004634513113835095,0.009699129762814717,0.6712546957097529,0.7476351579526067,1.5022189578204779,0.0424733800136992,0.0424733800136992
,HRS_LTG,0.5001662611369985,0.0029347042723267404,0.0009482449120625327,0.0015664748043465512,0.30373859961137534,0.1668084378271435,0.2587079746910835,0.04257105366227434,0.04257105366227434
,HRS_LTG,0.500494748136441,0.005385566256335578,0.0011375345654158148,0.001516182764350029,0.4444555749024518,0.20681221846130127,0.26306112527493636,0.042599012440719,0.042599012440719
,HRS_LTG,0.50114031303549,0.005518827070592462,0.0016116343795189335,0.002536665544243813,0.4501797140594632,0.2774194389330358,0.4146575526742258,0.04265395892570866,0.04265395892570866
,HRS_LTG,0.5031018462937383,0.002852408139104421,0.0006832809942930551,0.0009301393530315016,0.2965350027029469,0.1262159158852039,0.1626971600985826,0.04282091248512588,0.04282091248512588
,HRS_LTG,0.5060569219960311,0.007782534084478921,0.0023676065280386067,0.004572575372137576,0.5334522073029478,0.39325083692980867,0.7172029397399228,0.04307243022247269,0.04307243022247269
,HRS_LTG,0.5076719038467634,0.0056294277562127905,0.0017751644864771052,0.0037367261104966996,0.45188648213506666,0.2984377362554012,0.5857118828709301,0.04320988747293743,0.04320988747293743
,HRS_LTG,0.508042164789876,0.0034038338603098422,0.0009662650584642456,0.0015232716621827284,0.3325030317029339,0.16970868060419872,0.2512238249330549,0.04324140179068141,0.04324140179068141
,HRS_LTG,0.5138190911849193,0.004179876151037942,0.0006623508923518581,0.000736178974018952,0.3768797255847605,0.12791960944661432,0.1386025069839845,0.04373309797787992,0.04373309797787992
,HRS_LTG,0.5158755814303435,0.007670693539401635,0.002936417577691115,0.00426528833991002,0.5250583865418114,0.4678944924175115,0.6594150910297468,0.043908133687795434,0.043908133687795434
,HRS_LTG,0.5194392018796137,0.0020423572585989225,0.00035841655300633394,0.0005098452407829388,0.22620436527932034,0.07055473099834975,0.09222933402342365,0.04421144698412412,0.04421144698412412
,HRS_LTG,0.5220704849516674,0.0038470002160759264,0.0010400413225923224,0.0014584883531173517,0.3539473669700079,0.17824085031574516,0.2378330017235015,0.04443540549865165,0.04443540549865165
,HRS_LTG,0.5274437550176201,0.007822979620951232,0.002633751061831129,0.0055731008627440985,0.5244303922187413,0.4158946628392709,0.8302308201570094,0.044892744959733194,0.044892744959733194
,HRS_LTG,0.5327236725010612,0.004893743180421494,0.00158596575865737,0.0031649742542903102,0.4058208200206181,0.2558858575010387,0.476259772200815,0.045342138827302335,0.045342138827302335
,HRS_LTG,0.5329658781829946,0.0011311093550123844,0.0001733986770994508,0.00020308178317706262,0.13628643872992874,0.03578920135225142,0.03993003376815855,0.04536275387450575,0.04536275387450575
,HRS_LTG,0.5367760421490315,0.004057902334186848,0.0012196692383843787,0.0023211021903780374,0.3598215832364158,0.1995635172355281,0.3521242117682559,0.04568705142766637,0.04568705142766637
NGC5691,HIGH,0.5389958624752796,0.004914772124651916,0.004078879134914516,0.0018660737790693303,0.40403357940038626,0.5815905016843671,0.2774565519493562,0.025276326945341803,0.026746263568439104
,HRS_LTG,0.5416032204051298,0.005970470874734802,0.0016551730582597913,0.0023112393970181385,0.4504304394481871,0.26555435932604116,0.35561690809365687,0.0460979109368835,0.0460979109368835
