# Object	Reference	Metallicity	[O/H]	[C/H]
CD-30_18140	P.E.Nissen+AAP3902352002	-1.91	-1.15	
CD-30_18140	K.F.Tan+MNRAS3922052009	-1.87	-1.01	
CD-30_18140	C.Charbonnel+AAP4429612005	-2.06		
CD-30_18140	M.Asplund+ApJ6442292006	-1.9	-1.23	
CD-30_18140	J.Melendez+AAP515L32010	-1.9		
CD-30_18140	P.E.Nissen+AAP4159932004	-1.88		
CD-3514849	D.Fabbian+AAP50011432009	-2.34	-1.64	-2.05
CD-35_14849	A.Hosford+AAP4936012009	-2.36		
CD-35_14849	P.E.Nissen+AAP4693192007	-2.34		
CD-35_14849	J.Melendez+ApJ64210822006	-2	-1.58	
CD-35_14849	C.J.Akerman+AAP4149312004	-2.41	-1.57	-2.03
CD-35_14849	P.E.Nissen+AAP3902352002	-2.34	-1.52	
CD-35_14849	E.Arnone+AAP4305072005			
CD-35_14849	C.Charbonnel+AAP4429612005	-2.63		
CD-35_14849	M.Asplund+ApJ6442292006	-2.27	-1.65	
CD-35_14849	J.Melendez+AAP515L32010	-2.35		
CD-35_14849	P.E.Nissen+AAP4159932004	-2.41		
CD-4214278	D.Fabbian+AAP50011432009	-2.03	-1.41	-1.89
CD-42_14278	P.E.Nissen+AAP4693192007	-2.03		
CD-42_14278	J.Melendez+ApJ64210822006	-1.8	-1.28	
CD-42_14278	C.J.Akerman+AAP4149312004	-2.12	-1.27	-1.81
CD-42_14278	P.E.Nissen+AAP4159932004	-2.12		
CD-711234	D.Fabbian+AAP50011432009	-2.38	-1.66	-2.15
CS22169-008	I.U.Roederer+AJ1471362014	-2.59	-1.98	-2.67
CS22171-031	I.U.Roederer+AJ1471362014	-2.42	-2.1	-2.18
CS22172-002	S.M.Andrievsky+AAP49410832009	-3.86		
CS22172-002	P.Francois+AAP40311052003			
CS22172-002	R.Cayrel+AAP41611172004	-3.86		-3.8
CS22172-002	M.Spite+AAP4306552005	-3.86	-2.68	-3.77
CS22172-002	M.Spite+AAP541A1432012	-3.86		
CS22172-002	S.M.Andrievsky+AAP509A882010	-3.86		
CS22172-002	K.A.Venn+AJ12811772004			
CS22172-002	P.Francois+AAP4769352007	-4		
CS22172-002	J.E.Norris+ApJ56110342001	-3.61		-3.27
CS22172-002	S.M.Andrievsky+AAP46410812007	-3.86		
CS22172-002	M.Spite+AAP4552912006	-3.86		-3.77
CS22172-002	S.M.Andrievsky+AAP4814812008	-3.86		
CS22172-029	I.U.Roederer+AJ1471362014	-2.7	-2.08	-2.63
CS22180-014	I.U.Roederer+AJ1471362014	-2.9	-2.56	-2.38
CS22182-047	I.U.Roederer+AJ1471362014	-1.99	-1.54	-2.18
CS22186-023	P.S.Barklem+AAP4391292005	-2.72		-2.46
