energy[ev]	n     k
      1559.80      0.99972418   4.5620057e-05
      1559.90      0.99972422   4.5609544e-05
      1560.00      0.99972425   4.5599034e-05
      1560.10      0.99972429   4.5588525e-05
      1560.20      0.99972432   4.5578019e-05
      1560.30      0.99972436   4.5567503e-05
      1560.40      0.99972439   4.5557001e-05
      1560.50      0.99972442   4.5546502e-05
      1560.60      0.99972446   4.5536006e-05
      1560.70      0.99972449   4.5525511e-05
      1560.80      0.99972453   4.5515006e-05
      1560.90      0.99972456   4.5504517e-05
      1561.00      0.99972460   4.5494029e-05
      1561.10      0.99972463   4.5483544e-05
      1561.20      0.99972466   4.5473061e-05
      1561.30      0.99972470   4.5462568e-05
      1561.40      0.99972473   4.5452090e-05
      1561.50      0.99972477   4.5441614e-05
      1561.60      0.99972480   4.5431140e-05
      1561.70      0.99972483   4.5420669e-05
      1561.80      0.99972487   4.5410187e-05
      1561.90      0.99972490   4.5399721e-05
      1562.00      0.99972494   4.5389256e-05
      1562.10      0.99972497   4.5378794e-05
      1562.20      0.99972501   4.5368335e-05
      1562.30      0.99972504   4.5357864e-05
      1562.40      0.99972507   4.5347409e-05
      1562.50      0.99972511   4.5336956e-05
      1562.60      0.99972514   4.5326506e-05
      1562.70      0.99972518   4.5316058e-05
      1562.80      0.99972521   4.5305599e-05
      1562.90      0.99972525   4.5295155e-05
      1563.00      0.99972528   4.5284714e-05
      1563.10      0.99972531   4.5274275e-05
      1563.20      0.99972535   4.5263838e-05
      1563.30      0.99972538   4.5253391e-05
      1563.40      0.99972542   4.5242959e-05
      1563.50      0.99972545   4.5232529e-05
      1563.60      0.99972548   4.5222102e-05
      1563.70      0.99972552   4.5211677e-05
      1563.80      0.99972555   4.5201241e-05
      1563.90      0.99972559   4.5190820e-05
      1564.00      0.99972562   4.5180402e-05
      1564.10      0.99972565   4.5169986e-05
      1564.20      0.99972569   4.5159572e-05
      1564.30      0.99972572   4.5149148e-05
      1564.40      0.99972576   4.5138739e-05
      1564.50      0.99972579   4.5128332e-05
      1564.60      0.99972582   4.5117928e-05
      1564.70      0.99972586   4.5107525e-05
      1564.80      0.99972589   4.5097113e-05
      1564.90      0.99972593   4.5086715e-05
      1565.00      0.99972596   4.5076320e-05
      1565.10      0.99972599   4.5065927e-05
      1565.20      0.99972603   4.5055536e-05
      1565.30      0.99972606   4.5045135e-05
      1565.40      0.99972610   4.5034748e-05
      1565.50      0.99972613   4.5024364e-05
      1565.60      0.99972616   4.5013983e-05
      1565.70      0.99972620   4.5003603e-05
      1565.80      0.99972623   4.4993214e-05
      1565.90      0.99972627   4.4982839e-05
      1566.00      0.99972630   4.4972466e-05
      1566.10      0.99972633   4.4962096e-05
      1566.20      0.99972637   4.4951728e-05
